RollNo,Name,Department,Section,Year
STU-770,Student_770,ECE,C,3
STU-771,Student_771,CSE,A,1
STU-772,Student_772,CSE,B,2
STU-773,Student_773,MECH,B,1
STU-774,Student_774,MECH,A,3
STU-775,Student_775,CSE,B,2
STU-776,Student_776,MECH,B,4
STU-777,Student_777,CSE,A,2
STU-778,Student_778,CSE,C,4
STU-779,Student_779,ECE,B,4
STU-780,Student_780,MECH,B,1
STU-781,Student_781,CSE,B,2
STU-782,Student_782,ECE,A,4
STU-783,Student_783,CSE,C,1
STU-784,Student_784,ECE,C,1
STU-785,Student_785,MECH,A,4
STU-786,Student_786,ECE,A,3
STU-787,Student_787,CSE,A,2
STU-788,Student_788,ECE,A,3
STU-789,Student_789,MECH,B,4
STU-790,Student_790,MECH,B,2
STU-791,Student_791,ECE,A,2
STU-792,Student_792,ECE,C,3
STU-793,Student_793,CSE,A,4
STU-794,Student_794,MECH,A,3
STU-795,Student_795,ECE,B,2
STU-796,Student_796,CSE,B,3
STU-797,Student_797,MECH,A,3
STU-798,Student_798,ECE,A,3
STU-799,Student_799,ECE,C,1
STU-800,Student_800,MECH,B,2
